Unnamed: 0,Datetime1,DAYTON_MW,Datetime
2333,10,19.05,2022-04-11 05:00:00
799,10,6.325,2022-02-06 07:00:00
354,19,23.3,2022-01-18 18:00:00
1801,4,26.933,2022-03-20 01:00:00
1073,20,24.167,2022-02-17 17:00:00
6454,18,19.35,2022-09-29 22:00:00
144,1,26.767,2022-01-10 00:00:00
380,21,21.75,2022-01-19 20:00:00
1340,23,13.333,2022-02-28 20:00:00
2133,2,26.433,2022-04-02 21:00:00
4930,1,23.083,2022-07-28 10:00:00
121,2,23.7,2022-01-09 01:00:00
3838,7,25.033,2022-06-12 22:00:00
418,11,13.1,2022-01-21 10:00:00
3254,21,9.033,2022-05-19 14:00:00
5252,11,21.8,2022-08-10 20:00:00
3790,10,27.533,2022-06-10 22:00:00
5776,7,26.717,2022-09-01 16:00:00
5150,5,24.4,2022-08-06 14:00:00
555,4,17.475,2022-01-27 03:00:00
2754,23,9.167,2022-04-28 18:00:00
3154,17,31.0,2022-05-15 10:00:00
2251,0,29.433,2022-04-07 19:00:00
6404,16,27.24,2022-09-27 20:00:00
1272,3,24.1,2022-02-26 00:00:00
6250,6,22.583,2022-09-21 10:00:00
4520,17,17.05,2022-07-11 08:00:00
6090,14,14.5,2022-09-14 18:00:00
3570,15,14.633,2022-06-01 18:00:00
5209,16,13.68,2022-08-09 01:00:00
3058,17,25.367,2022-05-11 10:00:00
5007,6,24.817,2022-07-31 15:00:00
4355,20,9.433,2022-07-04 11:00:00
2821,20,7.7,2022-05-01 13:00:00
5294,5,24.317,2022-08-12 14:00:00
4316,5,24.667,2022-07-02 20:00:00
1867,22,32.6,2022-03-22 19:00:00
5623,22,27.18,2022-08-26 07:00:00
6436,0,24.343,2022-09-29 04:00:00
1840,19,32.5,2022-03-21 16:00:00
3424,23,8.7,2022-05-26 16:00:00
5875,15,29.233,2022-09-05 19:00:00
1268,23,25.3,2022-02-25 20:00:00
414,7,20.033,2022-01-21 06:00:00
3784,4,25.867,2022-06-10 16:00:00
654,9,14.833,2022-01-31 06:00:00
1606,1,25.533,2022-03-11 22:00:00
4886,5,24.7,2022-07-26 14:00:00
4080,9,9.533,2022-06-23 00:00:00
5212,19,21.883,2022-08-09 04:00:00
4883,2,23.45,2022-07-26 11:00:00
2698,15,34.85,2022-04-26 10:00:00
589,16,9.467,2022-01-28 13:00:00
2589,2,26.633,2022-04-21 21:00:00
5404,19,24.283,2022-08-17 04:00:00
3402,1,25.175,2022-05-25 18:00:00
3206,21,31.6,2022-05-17 14:00:00
3480,7,24.3,2022-05-29 00:00:00
5871,11,27.1,2022-09-05 15:00:00
701,8,20.367,2022-02-02 05:00:00
6535,3,25.833,2022-10-03 07:00:00
6640,12,26.2,2022-10-07 16:00:00
4986,9,24.833,2022-07-30 18:00:00
677,8,19.733,2022-02-01 05:00:00
3826,19,26.333,2022-06-12 10:00:00
4463,8,11.367,2022-07-08 23:00:00
5584,7,24.7,2022-08-24 16:00:00
2087,4,27.133,2022-03-31 23:00:00
5100,3,24.767,2022-08-04 12:00:00
3458,9,22.667,2022-05-28 02:00:00
1886,17,31.25,2022-03-23 14:00:00
5858,17,28.92,2022-09-05 02:00:00
110,15,10.35,2022-01-08 14:00:00
3879,0,24.767,2022-06-14 15:00:00
2827,2,24.133,2022-05-01 19:00:00
4981,4,24.0,2022-07-30 13:00:00
5826,9,25.22,2022-09-03 18:00:00
4375,16,22.9,2022-07-05 07:00:00
3142,5,26.9,2022-05-14 22:00:00
2232,5,27.367,2022-04-07 00:00:00
5257,16,23.6,2022-08-11 01:00:00
3916,13,10.733,2022-06-16 04:00:00
5049,0,18.783,2022-08-02 09:00:00
5239,22,24.54,2022-08-10 07:00:00
2167,12,28.2,2022-04-04 07:00:00
3541,10,24.267,2022-05-31 13:00:00
4273,10,10.933,2022-07-01 01:00:00
4241,2,24.3,2022-06-29 17:00:00
2705,22,32.833,2022-04-26 17:00:00
4071,0,9.067,2022-06-22 15:00:00
107,12,9.8,2022-01-08 11:00:00
29,6,15.667,2022-01-05 05:00:00
3622,19,9.9,2022-06-03 22:00:00
2185,6,24.15,2022-04-05 01:00:00
751,10,5.633,2022-02-04 07:00:00
584,11,15.033,2022-01-28 08:00:00
1220,23,24.2,2022-02-23 20:00:00
3634,23,8.833,2022-06-04 10:00:00
6509,1,25.767,2022-10-02 05:00:00
2579,16,17.633,2022-04-21 11:00:00
2117,10,26.667,2022-04-02 05:00:00
548,21,19.4,2022-01-26 20:00:00
5159,14,23.257,2022-08-06 23:00:00
1611,6,20.633,2022-03-12 03:00:00
6204,8,23.533,2022-09-19 12:00:00
3317,12,26.067,2022-05-22 05:00:00
2288,13,14.0,2022-04-09 08:00:00
6428,16,26.7,2022-09-28 20:00:00
6526,18,25.2,2022-10-02 22:00:00
4679,8,9.8,2022-07-17 23:00:00
4771,4,23.88,2022-07-21 19:00:00
4038,15,10.233,2022-06-21 06:00:00
3269,12,27.36,2022-05-20 05:00:00
4977,0,23.517,2022-07-30 09:00:00
2572,9,27.067,2022-04-21 04:00:00
5924,16,31.483,2022-09-07 20:00:00
2477,10,11.633,2022-04-17 05:00:00
1616,11,8.967,2022-03-12 08:00:00
4401,18,23.08,2022-07-06 09:00:00
1786,13,16.867,2022-03-19 10:00:00
90,19,11.7,2022-01-07 18:00:00
2836,11,11.933,2022-05-02 04:00:00
5509,4,23.343,2022-08-21 13:00:00
3388,11,12.867,2022-05-25 04:00:00
1805,8,9.033,2022-03-20 05:00:00
6275,7,23.6,2022-09-22 11:00:00
624,3,18.2,2022-01-30 00:00:00
69,22,9.067,2022-01-06 21:00:00
889,4,21.033,2022-02-10 01:00:00
6316,0,25.833,2022-09-24 04:00:00
5054,5,25.25,2022-08-02 14:00:00
4294,7,16.867,2022-07-01 22:00:00
4384,1,23.367,2022-07-05 16:00:00
6266,22,23.16,2022-09-22 02:00:00
2098,15,33.6,2022-04-01 10:00:00
947,14,25.267,2022-02-12 11:00:00
