DAYTON_MW,hour,dayofweek,month,day,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168
25.05,0,1,1,11,0,23.867,26.767,20.867,18.919166666666666,17.479279761904763
24.5,1,1,1,11,0,25.05,25.367,21.0,18.847625,17.50417857142857
23.567,2,1,1,11,0,24.5,24.1,20.867,18.8115,17.525011904761904
22.8,3,1,1,11,0,23.567,23.2,20.65,18.789291666666667,17.541083333333333
22.3,4,1,1,11,0,22.8,22.533,20.4,18.772625,17.553880952380954
21.867,5,1,1,11,0,22.3,21.933,20.1,18.762916666666666,17.565190476190473
21.5,6,1,1,11,0,21.867,21.85,19.8,18.760166666666667,17.575708333333335
21.3,7,1,1,11,0,21.5,22.9,19.5,18.745583333333332,17.58582738095238
21.5,8,1,1,11,0,21.3,18.2,19.4,18.678916666666666,17.596541666666667
21.967,9,1,1,11,0,21.5,12.75,19.5,18.816416666666665,17.60904166666667
22.767,10,1,1,11,0,21.967,12.575,19.933,19.200458333333334,17.62372619047619
23.35,11,1,1,11,0,22.767,17.8,20.75,19.625125,17.64059523809524
23.667,12,1,1,11,0,23.35,9.867,21.833,19.856375,17.65607142857143
23.833,13,1,1,11,0,23.667,10.333,22.75,20.431375,17.666988095238096
24.133,14,1,1,11,0,23.833,19.5,23.7,20.993875,17.673434523809526
24.3,15,1,1,11,0,24.133,13.0,24.6,21.186916666666665,17.676011904761904
24.2,16,1,1,11,0,24.3,14.267,25.1,21.657750000000004,17.67422619047619
23.9,17,1,1,11,0,24.2,17.633,12.1,22.071625,17.668869047619047
23.4,18,1,1,11,0,23.9,21.367,19.667,22.33275,17.739107142857144
22.95,19,1,1,11,0,23.4,22.85,23.133,22.417458333333332,17.761327380952384
22.433,20,1,1,11,0,22.95,18.467,23.1,22.421625000000002,17.760238095238094
22.033,21,1,1,11,0,22.433,14.067,22.7,22.586875000000003,17.756267857142856
21.75,22,1,1,11,0,22.033,18.867,22.3,22.918791666666667,17.75229761904762
21.433,23,1,1,11,0,21.75,23.867,21.8,23.03891666666667,17.749023809523813
21.25,0,2,1,12,0,21.433,25.05,21.333,22.9375,17.746839285714287
21.075,1,2,1,12,0,21.25,24.5,20.933,22.77916666666667,17.74634523809524
20.833,2,2,1,12,0,21.075,23.567,20.567,22.636458333333334,17.74719047619048
20.7,3,2,1,12,0,20.833,22.8,20.25,22.522541666666665,17.74877380952381
20.55,4,2,1,12,0,20.7,22.3,20.1,22.435041666666667,17.751452380952383
20.267,5,2,1,12,0,20.55,21.867,15.667,22.362124999999995,17.75413095238095
21.767,6,2,1,12,0,20.267,21.5,19.167,22.295458333333332,17.781511904761903
24.767,7,2,1,12,0,21.767,21.3,14.1,22.306583333333332,17.796988095238095
24.067,8,2,1,12,0,24.767,21.5,14.05,22.45104166666667,17.860482142857144
23.4,9,2,1,12,0,24.067,21.967,13.467,22.558000000000003,17.92010714285714
23.333,10,2,1,12,0,23.4,22.767,11.4,22.61770833333333,17.979232142857143
23.7,11,2,1,12,0,23.333,23.35,9.9,22.641291666666664,18.050261904761904
24.2,12,2,1,12,0,23.7,23.667,9.833,22.655874999999998,18.132404761904763
24.8,13,2,1,12,0,24.2,23.833,10.0,22.678083333333333,18.21792261904762
25.467,14,2,1,12,0,24.8,24.133,13.033,22.718374999999998,18.30601785714286
25.7,15,2,1,12,0,25.467,24.3,9.333,22.77395833333333,18.380029761904762
25.4,16,2,1,12,0,25.7,24.2,12.7,22.832291666666666,18.477452380952382
24.35,17,2,1,12,0,25.4,23.9,12.733,22.882291666666664,18.55304761904762
23.3,18,2,1,12,0,24.35,23.4,15.733,22.901041666666668,18.622196428571428
22.3,19,2,1,12,0,23.3,22.95,16.033,22.896874999999998,18.667238095238094
21.55,20,2,1,12,0,22.3,22.433,16.033,22.869791666666668,18.704541666666664
20.933,21,2,1,12,0,21.55,22.033,16.1,22.833,18.737380952380953
20.3,22,2,1,12,0,20.933,21.75,12.95,22.787166666666664,18.76614880952381
19.933,23,2,1,12,0,20.3,21.433,23.6,22.726749999999996,18.80989880952381
19.55,0,3,1,13,0,19.933,21.25,26.5,22.664249999999996,18.788071428571428
19.167,1,3,1,13,0,19.55,21.075,25.5,22.593416666666666,18.74670238095238
18.733,2,3,1,13,0,19.167,20.833,24.5,22.51391666666667,18.709005952380952
18.233,3,3,1,13,0,18.733,20.7,23.633,22.426416666666668,18.674678571428572
17.733,4,3,1,13,0,18.233,20.55,23.1,22.323625000000003,18.642535714285717
17.35,5,3,1,13,0,17.733,20.267,22.6,22.20625,18.610589285714283
17.733,6,3,1,13,0,17.35,21.767,14.9,22.084708333333335,18.579339285714283
21.633,7,3,1,13,0,17.733,24.767,14.133,21.916625,18.59620238095238
21.467,8,3,1,13,0,21.633,24.067,22.7,21.786041666666666,18.64084523809524
20.867,9,3,1,13,0,21.467,23.4,23.533,21.67770833333333,18.633505952380954
20.85,10,3,1,13,0,20.867,23.333,23.75,21.572166666666664,18.617636904761905
21.233,11,3,1,13,0,20.85,23.7,24.2,21.468708333333336,18.600375
21.775,12,3,1,13,0,21.233,24.2,24.867,21.365916666666667,18.582714285714285
22.667,13,3,1,13,0,21.775,24.8,25.5,21.264875,18.56430952380952
23.533,14,3,1,13,0,22.667,25.467,26.0,21.176,18.54744642857143
24.0,15,3,1,13,0,23.533,25.7,26.267,21.09541666666667,18.532761904761905
23.867,16,3,1,13,0,24.0,25.4,9.633,21.024583333333336,18.519267857142857
23.35,17,3,1,13,0,23.867,24.35,9.267,20.960708333333333,18.603994047619047
22.6,18,3,1,13,0,23.35,23.3,8.85,20.91904166666667,18.68782142857143
21.9,19,3,1,13,0,22.6,22.3,15.6,20.889875,18.769666666666666
21.233,20,3,1,13,0,21.9,21.55,12.267,20.873208333333334,18.807166666666667
21.533,21,3,1,13,0,21.233,20.933,9.067,20.86,18.860535714285714
22.4,22,3,1,13,0,21.533,20.3,12.467,20.885,18.934738095238096
26.05,23,3,1,13,0,22.4,19.933,21.35,20.9725,18.993863095238094
25.1,0,4,1,14,0,26.05,19.55,23.967,21.227375,19.021839285714286
23.3,1,4,1,14,0,25.1,19.167,24.4,21.458624999999998,19.028583333333334
21.8,2,4,1,14,0,23.3,18.733,23.9,21.63083333333333,19.022035714285714
20.733,3,4,1,14,0,21.8,18.233,23.3,21.758625,19.009535714285715
19.9,4,4,1,14,0,20.733,17.733,22.8,21.862791666666666,18.994255952380954
19.3,5,4,1,14,0,19.9,17.35,20.8,21.953083333333336,18.976994047619048
19.667,6,4,1,14,0,19.3,17.733,14.967,22.034333333333333,18.968065476190475
20.667,7,4,1,14,0,19.667,21.633,11.7,22.11491666666667,18.996041666666667
21.433,8,4,1,14,0,20.667,21.467,15.6,22.07466666666667,19.049416666666666
22.533,9,4,1,14,0,21.433,20.867,8.4,22.07325,19.084136904761905
18.233,10,4,1,14,0,22.533,20.85,9.067,22.142666666666667,19.168261904761906
17.9,11,4,1,14,0,18.233,21.233,9.967,22.033625,19.22282142857143
12.5,12,4,1,14,0,17.9,21.775,9.8,21.894750000000002,19.270041666666664
9.65,13,4,1,14,0,12.5,22.667,9.833,21.508291666666665,19.286113095238097
17.3,14,4,1,14,0,9.65,23.533,12.433,20.96591666666667,19.28502380952381
25.75,15,4,1,14,0,17.3,24.0,9.767,20.706208333333333,19.313994047619047
26.733,16,4,1,14,0,25.75,23.867,9.567,20.779125,19.409130952380956
25.467,17,4,1,14,0,26.733,23.35,9.1,20.898541666666667,19.511309523809523
24.067,18,4,1,14,0,25.467,22.6,11.7,20.98675,19.608732142857143
23.067,19,4,1,14,0,24.067,21.9,25.333,21.047875,19.682345238095238
22.3,20,4,1,14,0,23.067,21.233,8.167,21.096500000000002,19.668857142857142
21.533,21,4,1,14,0,22.3,21.533,16.167,21.140958333333334,19.752982142857142
23.033,22,4,1,14,0,21.533,22.4,16.133,21.140958333333334,19.78492261904762
26.15,23,4,1,14,0,23.033,26.05,26.2,21.167333333333335,19.825994047619048
24.833,0,5,1,15,1,26.15,25.1,26.75,21.1715,19.82569642857143
23.3,1,5,1,15,1,24.833,23.3,25.867,21.160375,19.814285714285717
22.033,2,5,1,15,1,23.3,21.8,24.767,21.160375,19.799005952380952
20.833,3,5,1,15,1,22.033,20.733,23.95,21.170083333333334,19.782732142857142
19.9,4,5,1,15,1,20.833,19.9,23.333,21.17425,19.764178571428573
19.2,5,5,1,15,1,19.9,19.3,22.7,21.17425,19.74374404761905
18.9,6,5,1,15,1,19.2,19.667,11.8,21.170083333333334,19.72291071428571
20.55,7,5,1,15,1,18.9,20.667,15.4,21.138125,19.76517261904762
21.2,8,5,1,15,1,20.55,21.433,7.45,21.13325,19.79582738095238
21.767,9,5,1,15,1,21.2,22.533,12.167,21.123541666666664,19.87767261904762
22.9,10,5,1,15,1,21.767,18.233,9.2,21.091625,19.934815476190476
13.933,11,5,1,15,1,22.9,17.9,9.8,21.286083333333334,20.016363095238095
21.4,12,5,1,15,1,13.933,12.5,10.067,21.120791666666666,20.040964285714285
14.133,13,5,1,15,1,21.4,9.65,10.1,21.491625,20.108422619047616
18.1,14,5,1,15,1,14.133,17.3,10.35,21.678416666666667,20.132428571428573
18.433,15,5,1,15,1,18.1,25.75,14.567,21.71175,20.178559523809525
13.45,16,5,1,15,1,18.433,26.733,9.1,21.406875,20.20157142857143
23.4,17,5,1,15,1,13.45,25.467,8.133,20.853416666666664,20.227464285714284
23.067,18,5,1,15,1,23.4,24.067,20.55,20.76729166666667,20.318339285714284
23.867,19,5,1,15,1,23.067,23.067,19.167,20.725625,20.33332142857143
22.4,20,5,1,15,1,23.867,22.3,18.1,20.758958333333332,20.361297619047622
22.167,21,5,1,15,1,22.4,21.533,11.0,20.763125,20.386892857142854
21.95,22,5,1,15,1,22.167,23.033,13.233,20.78954166666667,20.453363095238096
26.3,23,5,1,15,1,21.95,26.15,21.167,20.744416666666666,20.50525
25.267,0,6,1,16,1,26.3,24.833,23.5,20.750666666666664,20.535803571428573
23.433,1,6,1,16,1,25.267,23.3,23.7,20.76875,20.546321428571428
21.933,2,6,1,16,1,23.433,22.033,23.267,20.774291666666667,20.544732142857143
20.8,3,6,1,16,1,21.933,20.833,22.8,20.770124999999997,20.536791666666666
20.05,4,6,1,16,1,20.8,19.9,22.333,20.76875,20.524886904761907
19.533,5,6,1,16,1,20.05,19.2,22.0,20.775,20.511297619047618
19.167,6,6,1,16,1,19.533,18.9,16.533,20.788875,20.496613095238093
20.3,7,6,1,16,1,19.167,20.55,14.333,20.8,20.512291666666666
21.9,8,6,1,16,1,20.3,21.2,12.2,20.789583333333333,20.547809523809523
22.5,9,6,1,16,1,21.9,21.767,8.767,20.818749999999998,20.60554761904762
16.467,10,6,1,16,1,22.5,22.9,9.4,20.84929166666667,20.687291666666667
23.4,11,6,1,16,1,16.467,13.933,9.633,20.58125,20.729357142857143
17.133,12,6,1,16,1,23.4,21.4,9.9,20.975708333333333,20.81130357142857
11.933,13,6,1,16,1,17.133,14.133,9.5,20.797916666666666,20.854357142857143
10.2,14,6,1,16,1,11.933,18.1,12.8,20.70625,20.868839285714287
